record,name,selling_price,model_year,vehicle_age,km_driven,seats,fuel_type,seller_type,transmission,owner,mileage,engine,max_power,brand
2089,Nissan Sunny XL D,670000,2018,3,35000,5,4,1,2,1,22.71,1461,84,Nissan
2090,Maruti A-Star Vxi,300000,2009,12,60000,5,3,1,2,1,19,998,66,Maruti
2091,Tata Tiago 1.2 Revotron XZ,500000,2018,3,25000,5,3,1,2,1,23.84,1199,84,Tata
2092,Honda Brio S MT,325000,2014,7,40000,5,3,1,2,3,19.4,1198,86,Honda
2093,Tata Indica V2 Turbomax DLS BS IV,135000,2012,9,120000,5,4,1,2,2,19,1405,71,Tata
2094,Audi Q5 35TDI Premium Plus,3975000,2018,3,31800,5,4,2,1,1,17.01,1968,188,Audi
2095,Mahindra XUV500 W7 BSIV,1100000,2018,3,50000,7,4,1,2,1,15.1,2179,152,Mahindra
2096,Chevrolet Beat Diesel LT,170000,2012,9,90000,5,4,1,2,1,25.44,936,57,Chevrolet
2097,Toyota Innova Crysta 2.4 GX MT BSIV,1750000,2017,4,23000,7,4,2,2,1,13.68,2393,147,Toyota
2098,Hyundai Verna 1.6 SX VTVT AT,475000,2012,9,83000,5,3,1,1,1,15.74,1591,121,Hyundai
2099,Toyota Innova 2.5 E Diesel MS 7-seater,451999,2010,11,120000,7,4,1,2,1,12.8,2494,102,Toyota
2100,Maruti Swift VXI,330000,2012,9,50000,5,3,1,2,2,18.6,1197,85,Maruti
2101,Datsun GO Plus A,350000,2015,6,60000,7,3,1,2,1,20.62,1198,67,Datsun
2102,BMW X4 M Sport X xDrive20d,5400000,2019,2,7500,5,4,2,1,1,16.78,1995,190,BMW
2103,Maruti Wagon R VXI BS IV,330000,2016,5,80000,5,3,1,2,2,20.51,998,67,Maruti
2104,Mahindra TUV 300 T8,700000,2017,4,40000,7,4,1,2,1,18.49,1493,100,Mahindra
2105,Tata Manza Club Class Quadrajet90 LX,290000,2012,9,60000,5,4,1,2,1,21.02,1248,88,Tata
2106,Hyundai i20 Sportz 1.4 CRDi,450000,2014,7,56000,5,4,1,2,1,21.9,1396,88,Hyundai
2107,Hyundai Verna 1.6 CRDI,475000,2013,8,125000,5,4,1,2,3,22.32,1582,126,Hyundai
2108,Volvo V40 D3 R-Design,2475000,2018,3,2000,5,4,2,1,1,16.8,1984,150,Volvo
2109,Ford EcoSport 1.5 TDCi Titanium Plus BE BSIV,925000,2018,3,50699,5,4,2,2,1,22.77,1498,98,Ford
2110,Tata Indica V2 LSi,75000,2012,9,12000,5,3,1,2,1,16.84,1193,64,Tata
2111,Honda City 2017-2020 VTEC,150000,2006,15,120000,5,3,1,2,2,16.9,1497,100,Honda
2112,Fiat Linea Classic 1.3 Multijet,280000,2014,7,185000,5,4,1,2,3,19.5,1248,75,Fiat
2113,Maruti Baleno Zeta Automatic,660000,2019,2,10000,5,3,1,1,1,21.4,1197,83,Maruti
2114,Volkswagen Vento 1.5 TDI Highline AT,411000,2014,7,90000,5,4,1,1,2,21.21,1498,103,Volkswagen
2115,Hyundai Grand i10 CRDi Sportz,450000,2015,6,53000,5,4,1,2,1,24,1120,70,Hyundai
2116,Maruti Wagon R LXI Minor,180000,2009,12,90000,5,3,1,2,2,18.9,1061,67,Maruti
2117,Maruti Ertiga VDI,560000,2012,9,200000,7,4,1,2,2,20.77,1248,88,Maruti
2118,Hyundai Santa Fe 4WD AT,900000,2014,7,80000,7,4,1,1,2,13.01,2199,194,Hyundai
2119,Maruti Baleno Zeta 1.2,625000,2018,3,10000,5,3,1,2,1,21.4,1197,83,Maruti
2120,Maruti Wagon R VXI 1.2,365000,2015,6,28000,5,3,2,2,1,20.52,1197,81,Maruti
2121,Maruti Ertiga ZDI,680000,2013,8,37500,7,4,1,2,2,20.77,1248,88,Maruti
2122,Maruti Swift Dzire VXI 1.2,600000,2018,3,25000,5,3,1,2,1,21.21,1197,81,Maruti
2123,Maruti Omni MPI STD BSIII 8-STR W/ IMMOBILISER,110000,2008,13,48676,8,3,1,2,1,19.7,796,35,Maruti
2124,Tata Zest Revotron 1.2T XM,350000,2016,5,70000,5,3,1,2,2,17.57,1193,88,Tata
2125,Maruti Alto LXi,215000,2011,10,50000,5,3,1,2,2,19.7,796,46,Maruti
2126,Tata Sumo EX 10/7 Str BSIII,200000,2008,13,80000,10,4,1,2,1,12.2,1948,68,Tata
2127,Tata Indigo CS eLX BS IV,259000,2012,9,35000,5,4,1,2,1,23.03,1396,69,Tata
2128,Datsun GO Plus A,385000,2016,5,20000,7,3,1,2,1,20.62,1198,67,Datsun
2129,Hyundai EON D Lite,170000,2012,9,40000,5,3,1,2,1,21.1,814,55,Hyundai
2130,Toyota Innova Crysta 2.8 ZX AT BSIV,1850000,2017,4,18890,7,4,2,1,1,11.36,2755,171,Toyota
2131,Ford Figo Diesel Titanium,300000,2014,7,80000,5,4,1,2,1,20,1399,68,Ford
2132,Mitsubishi Pajero Sport 4X4,1700000,2015,6,39000,7,4,1,2,1,13.5,2477,175,Mitsubishi
2133,Hyundai i10 Magna 1.1L,380000,2016,5,80000,5,3,1,2,1,19.81,1086,68,Hyundai
2134,Maruti Celerio VDi,375000,2016,5,61173,5,4,2,2,1,27.62,793,47,Maruti
2135,Ford Fiesta 1.5 TDCi Ambiente,425000,2014,7,60000,5,4,1,2,1,25.01,1498,89,Ford
2136,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
2137,Hyundai EON Era Plus,300000,2017,4,15151,5,3,1,2,2,21.1,814,55,Hyundai
2138,Honda City i VTEC CVT VX,635000,2014,7,79011,5,3,3,1,1,18,1497,117,Honda
2139,Hyundai Elite i20 Magna Plus BSIV,630000,2019,2,5000,5,3,1,2,1,18.6,1197,81,Hyundai
2140,Renault KWID RXT,265000,2016,5,50000,5,3,1,2,1,25.17,799,53,Renault
2141,Hyundai i20 1.2 Asta Option,700000,2017,4,30000,5,3,1,2,1,18.6,1197,81,Hyundai
2142,Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,650000,2017,4,44000,5,4,2,2,1,23.65,1248,88,Maruti
2143,Tata Manza Aqua Quadrajet BS IV,150000,2010,11,120000,5,4,1,2,2,21.12,1248,88,Tata
2144,Maruti Swift Dzire ZXi,355000,2012,9,90000,5,3,1,2,2,17.5,1298,85,Maruti
2145,Maruti Alto K10 VXI,330000,2016,5,30000,5,3,1,2,1,23.95,998,67,Maruti
2146,Hyundai Creta 1.6 CRDi Anniversary Edition,819999,2016,5,39000,5,4,2,2,1,19.67,1582,126,Hyundai
2147,Maruti SX4 ZXI AT,220000,2011,10,65000,5,3,1,1,3,12.6,1586,103,Maruti
2148,Tata Indica Vista TDI LX,225000,2013,8,70000,5,4,1,2,2,19.4,1405,70,Tata
2149,Mahindra XUV500 W4,880000,2014,7,120000,7,4,1,2,1,15.1,2179,140,Mahindra
2150,Hyundai Xcent 1.2 VTVT SX Option,640000,2018,3,20000,5,3,1,2,1,20.14,1197,81,Hyundai
2151,Maruti Wagon R LXI CNG,390000,2018,3,40000,5,1,1,2,1,26.6,998,58,Maruti
2152,Maruti Swift VXI with ABS,250000,2007,14,60000,5,3,1,2,1,16.6,1197,85,Maruti
2153,Volkswagen Vento 1.5 TDI Highline,900000,2017,4,74000,5,4,1,2,1,22.27,1498,108,Volkswagen
2154,Maruti Alto K10 VXI,360000,2019,2,25000,5,3,1,2,1,23.95,998,67,Maruti
2155,BMW X4 M Sport X xDrive20d,5500000,2019,2,8500,5,4,2,1,1,16.78,1995,190,BMW
2156,Toyota Glanza G CVT,800000,2019,2,10000,5,3,1,1,1,19.56,1197,81,Toyota
2157,Hyundai Grand i10 Sportz,500000,2016,5,50000,5,3,1,2,1,18.9,1197,82,Hyundai
2158,Toyota Etios Cross 1.2L G,600000,2015,6,10000,5,3,1,2,1,18.16,1197,78,Toyota
2159,Hyundai Grand i10 1.2 CRDi Magna,409999,2016,5,78000,5,4,2,2,1,24,1186,73,Hyundai
2160,Mahindra Verito 1.5 D6 BSIV,350000,2012,9,25000,5,4,1,2,1,21.03,1461,65,Mahindra
2161,Mahindra Bolero Power Plus ZLX,680000,2017,4,90000,7,4,1,2,1,16.5,1493,70,Mahindra
2162,Lexus ES 300h,5150000,2019,2,20000,5,3,2,1,1,22.37,2487,214,Lexus
2163,Maruti Ertiga VDI,450000,2013,8,120000,7,4,1,2,2,20.77,1248,88,Maruti
2164,Hyundai Venue SX Plus Dual Tone Turbo DCT,1150000,2019,2,2286,5,3,3,1,1,18.15,998,118,Hyundai
2165,Toyota Fortuner 2.8 2WD MT BSIV,3000000,2018,3,35000,7,4,1,2,1,14.24,2755,174,Toyota
2166,Ford Figo Diesel Titanium,155000,2011,10,80000,5,4,1,2,3,20,1399,68,Ford
2167,Ford Figo Aspire 1.5 TDCi Trend,459999,2015,6,32000,5,4,1,2,2,25.83,1498,99,Ford
2168,Hyundai Creta 1.6 CRDi SX Option,1000000,2015,6,50000,5,4,1,2,1,19.67,1582,126,Hyundai
2169,Honda Amaze S i-DTEC,600000,2017,4,24500,5,4,2,2,1,25.8,1498,98,Honda
2170,Tata New Safari Dicor EX 4X2 BS IV,541000,2013,8,112011,7,4,1,2,1,13.93,2179,138,Tata
2171,Nissan Terrano XL 85 PS,1000000,2015,6,110000,5,4,1,2,1,20.45,1461,83,Nissan
2172,Mahindra Scorpio 1.99 S10 4WD,950000,2016,5,60000,7,4,1,2,3,15.4,1997,120,Mahindra
2173,Maruti Celerio X ZXI BSIV,490000,2019,2,7000,5,3,1,2,1,21.63,998,67,Maruti
2174,Hyundai i20 Magna 1.2,400000,2014,7,10000,5,3,1,2,1,18.6,1197,81,Hyundai
2175,Mahindra Scorpio 2.6 Turbo 7 Str,400000,2008,13,110000,8,4,1,2,1,12.7,2609,116,Mahindra
2176,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
2177,Renault KWID 1.0 RXT Optional,420000,2019,2,15000,5,3,1,2,1,23.01,999,67,Renault
2178,Mahindra NuvoSport N8,600000,2016,5,100000,7,4,1,2,1,17.45,1493,100,Mahindra
2179,Honda City i-DTEC V,1200000,2019,2,40000,5,4,1,2,1,25.6,1498,97,Honda
2180,Tata Indigo LS,80000,2004,17,248200,5,4,1,2,2,16.1,1405,70,Tata
2181,Hyundai Grand i10 1.2 Kappa Sportz BSIV,562000,2019,2,5000,5,3,1,2,1,18.9,1197,81,Hyundai
2182,Jaguar XE 2016-2019 2.0L Diesel Prestige,2711000,2017,4,9000,5,4,2,1,1,13.6,1999,177,Jaguar
2183,BMW 6 Series GT 630d Luxury Line,6000000,2018,3,27000,4,4,2,1,1,17.09,2993,261,BMW
2184,Hyundai i20 Sportz 1.4 CRDi,370000,2013,8,80000,5,4,1,2,1,21.9,1396,88,Hyundai
2185,Maruti Eeco 5 Seater AC BSIV,415000,2020,1,15000,5,3,1,2,1,15.37,1196,73,Maruti
2186,Renault Duster 110PS Diesel RxZ,1250000,2018,3,12000,5,4,1,2,1,19.6,1461,108,Renault
2187,Maruti Zen D,120000,2002,19,60000,5,4,1,2,2,20.8,1527,58,Maruti
2188,Hyundai Grand i10 1.2 Kappa Asta,590000,2018,3,10000,5,3,1,2,1,18.9,1197,81,Hyundai
2189,Chevrolet Enjoy TCDi LT 7 Seater,355000,2013,8,136000,7,4,1,2,2,18.2,1248,73,Chevrolet
2190,Honda City 1.5 E MT,229999,2008,13,120000,5,3,1,2,2,17,1497,118,Honda
2191,Ford Fusion 1.4 TDCi Diesel,150000,2009,12,100000,5,4,1,2,4,17.7,1399,68,Ford
2192,Ford EcoSport 1.5 Diesel Titanium BSIV,800000,2019,2,30000,5,4,1,2,3,23,1498,98,Ford
2193,BMW X4 M Sport X xDrive20d,5500000,2019,2,8500,5,4,2,1,1,16.78,1995,190,BMW
2194,Maruti Swift VXI Deca,500000,2016,5,32000,5,3,1,2,1,20.4,1197,81,Maruti
2195,Maruti Wagon R LXI,225000,2013,8,58343,5,3,3,2,1,21.79,998,67,Maruti
2196,Hyundai i20 Active 1.2 S,600000,2017,4,15000,5,3,1,2,1,17.19,1197,81,Hyundai
2197,Mahindra XUV500 W8 4WD,800000,2013,8,120000,7,4,1,2,2,15.1,2179,140,Mahindra
2198,Toyota Etios Liva GD,430999,2014,7,120000,5,4,1,2,1,23.59,1364,67,Toyota
2199,Maruti Alto K10 VXI,285000,2015,6,40000,5,3,1,2,1,23.95,998,67,Maruti
2200,Honda City i-VTEC CVT ZX,1227000,2019,2,5000,5,3,1,1,1,18,1497,117,Honda
2201,Tata Indigo eCS LX BSIV,220000,2013,8,80000,5,4,1,2,1,23.03,1396,69,Tata
2202,Hyundai Verna 1.6 SX CRDi (O),450000,2011,10,128000,5,4,1,2,2,22.32,1582,126,Hyundai
2203,Honda Jazz VX,550000,2016,5,56494,5,3,3,2,1,18.2,1199,88,Honda
2204,Maruti Swift LXI Option,400000,2014,7,50000,5,3,1,2,1,20.4,1197,81,Maruti
2205,Tata Zest Quadrajet 1.3 75PS XM,459999,2017,4,80000,5,4,1,2,1,22.95,1248,74,Tata
2206,Hyundai i10 Sportz 1.1L,200000,2010,11,70000,5,3,1,2,2,19.81,1086,68,Hyundai
2207,Maruti Swift VDI BSIV,430000,2014,7,80000,5,4,1,2,2,25.2,1248,74,Maruti
2208,Maruti Eeco CNG 5 Seater AC BSIV,220000,2012,9,270000,5,1,1,2,1,21.94,1196,61,Maruti
2209,Maruti Swift Vdi BSIII,350000,2010,11,110000,5,4,1,2,4,17.8,1248,75,Maruti
2210,Mahindra Bolero 2011-2019 SLE,570000,2014,7,74000,7,4,2,2,1,15.96,2523,62,Mahindra
2211,Maruti Ciaz ZDi Plus SHVS,550000,2015,6,40000,5,4,1,2,3,28.09,1248,88,Maruti
2212,Maruti Swift Ldi BSIII,290000,2008,13,100000,5,4,1,2,2,17.8,1248,75,Maruti
2213,Mahindra Scorpio 1.99 S10,1100000,2016,5,100000,7,4,1,2,1,15.4,1997,120,Mahindra
2214,Ford Figo Aspire 1.2 Ti-VCT Trend,550000,2018,3,14200,5,3,1,2,1,18.16,1196,86,Ford
2215,Mahindra XUV500 W11 BSIV,1550000,2019,2,28000,7,4,1,2,1,15.1,2179,152,Mahindra
2216,Mahindra XUV500 W8 4WD,1050000,2015,6,120000,7,4,1,2,2,15.1,2179,140,Mahindra
2217,Mahindra Scorpio 2009-2014 VLX 2WD 7S BSIV,470000,2012,9,215000,7,4,1,2,1,12.05,2179,120,Mahindra
2218,Chevrolet Beat LT,150000,2011,10,100000,5,3,1,2,3,18.6,1199,79,Chevrolet
2219,Volkswagen Vento Diesel Highline,450000,2013,8,170000,5,4,1,2,1,20.54,1598,103,Volkswagen
2220,Maruti Baleno Zeta Automatic,745000,2017,4,10000,5,3,1,1,1,21.4,1197,83,Maruti
2221,Ford Aspire Titanium Diesel BSIV,725000,2017,4,75000,5,4,2,2,1,26.1,1498,99,Ford
2222,Maruti Wagon R Duo Lxi,300000,2011,10,300000,5,2,1,2,1,26.2,998,58,Maruti
2223,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
2224,Maruti SX4 Celebration Diesel,242000,2011,10,120000,5,4,1,2,1,21.5,1248,88,Maruti
2225,Ford Figo Petrol EXI,160000,2010,11,90000,5,3,1,2,2,15.6,1196,70,Ford
2226,Skoda Rapid 1.6 MPI AT Elegance,645000,2016,5,11000,5,3,2,1,1,14.3,1598,103,Skoda
2227,Maruti Swift VXI Deca,500000,2016,5,22947,5,3,1,2,1,20.4,1197,81,Maruti
2228,Datsun GO Plus A Option Petrol,530000,2018,3,65000,7,3,1,2,1,19.02,1198,67,Datsun
2229,Audi A6 35 TFSI Matrix,5923000,2019,2,11500,5,3,2,1,1,15.26,1798,187,Audi
2230,Tata New Safari DICOR 2.2 VX 4x2 BS IV,240000,2011,10,120000,7,4,1,2,1,13.93,2179,138,Tata
2231,Maruti Ritz VDi ABS,200000,2009,12,70000,5,4,1,2,1,21.1,1248,73,Maruti
2232,Mahindra Verito 1.5 D2 BSIII,225000,2012,9,110000,5,4,1,2,2,20.8,1461,65,Mahindra
2233,Renault Fluence 2.0,600000,2011,10,43000,5,3,2,1,1,13.4,1997,135,Renault
2234,Renault KWID RXT,340000,2017,4,25000,5,3,1,2,1,25.17,799,53,Renault
2235,Hyundai i20 1.2 Magna Executive,555000,2018,3,25000,5,3,1,2,2,18.6,1197,81,Hyundai
2236,Maruti Ciaz 1.3 Alpha,720000,2017,4,60000,5,4,1,2,1,28.09,1248,88,Maruti
2237,Maruti Swift Dzire VXI,500000,2014,7,45000,5,3,1,2,1,19.1,1197,85,Maruti
2238,Maruti Vitara Brezza ZDi AMT,900000,2018,3,50000,5,4,1,1,2,24.3,1248,88,Maruti
2239,Maruti Swift VDI,390000,2013,8,120000,5,4,1,2,1,22.9,1248,74,Maruti
2240,Ford Figo Aspire 1.5 TDCi Titanium,670000,2017,4,70000,5,4,1,2,1,25.83,1498,99,Ford
2241,Maruti Baleno Delta 1.2,550000,2016,5,45000,5,3,1,2,1,21.4,1197,83,Maruti
2242,Ford EcoSport 1.5 Ti VCT AT Titanium BE BSIV,680000,2015,6,64000,5,3,2,1,1,16.05,1499,110,Ford
2243,Hyundai i20 Sportz 1.4 CRDi,335000,2012,9,135000,5,4,1,2,1,21.9,1396,88,Hyundai
2244,Maruti Celerio VXI,290000,2015,6,30000,5,3,1,2,2,23.1,998,67,Maruti
2245,Tata Safari Storme EX,503000,2015,6,110000,7,4,1,2,1,14.1,2179,147,Tata
2246,Toyota Innova 2.5 V Diesel 7-seater,325000,2008,13,80000,7,4,1,2,4,12.8,2494,102,Toyota
2247,BMW 5 Series 520d Sport Line,975000,2009,12,80000,5,4,2,1,2,22.48,1995,187,BMW
2248,Mercedes-Benz E-Class Exclusive E 200 BSIV,5200000,2019,2,17000,5,3,2,1,1,15,1991,194,Mercedes-Benz
2249,Toyota Innova 2.5 V Diesel 7-seater,700000,2011,10,250000,7,4,1,2,2,12.8,2494,102,Toyota
2250,Maruti Alto K10 VXI,305000,2016,5,40000,5,3,1,2,1,23.95,998,67,Maruti
2251,Chevrolet Sail 1.2 LT ABS,330000,2014,7,23000,5,3,1,2,1,18.2,1199,82,Chevrolet
2252,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,425000,2008,13,250000,8,4,1,2,3,12.8,2494,102,Toyota
2253,Maruti Swift VDI Optional,550000,2016,5,50000,5,4,1,2,1,25.2,1248,74,Maruti
2254,Ford Classic 1.6 Duratec Titanium,350000,2013,8,120000,5,3,1,2,1,14.09,1596,99,Ford
2255,Mahindra Scorpio S2 7 Seater,670000,2016,5,73000,7,4,1,2,1,15.4,2523,75,Mahindra
2256,Mahindra TUV 300 T8,625000,2016,5,120000,7,4,1,2,1,18.49,1493,100,Mahindra
2257,Mahindra Scorpio S10 7 Seater,1050000,2015,6,80000,7,4,1,2,2,15.4,2179,120,Mahindra
2258,Chevrolet Spark 1.0 LT Option Pack w/ Airbag,60000,2009,12,110000,5,3,1,2,3,16.5,995,63,Chevrolet
2259,Toyota Camry V4 (MT),250000,2004,17,120000,5,3,1,2,2,13.4,2362,164,Toyota
2260,Maruti Alto LX,60000,2004,17,113000,5,3,1,2,2,19.7,796,46,Maruti
2261,Maruti Zen LXI,50000,2000,21,180000,5,3,1,2,4,17.3,993,60,Maruti
2262,Maruti Swift DDiS VDI,610000,2017,4,49000,5,4,1,2,1,28.4,1248,74,Maruti
2263,Tata Safari Storme EX,1100000,2017,4,20000,7,4,1,2,1,14.1,2179,147,Tata
2264,Maruti Zen VXI,200000,2003,18,121000,5,3,1,2,1,17.3,993,60,Maruti
2265,Maruti Alto LXi,155000,2011,10,40000,5,3,1,2,1,19.7,796,46,Maruti
2266,Maruti A-Star Vxi,220000,2011,10,90000,5,3,1,2,2,19,998,66,Maruti
2267,Mahindra XUV500 W8 2WD,750000,2013,8,80000,7,4,1,2,2,15.1,2179,140,Mahindra
2268,Tata Nano Twist XE,110000,2015,6,15000,4,3,1,2,1,25.4,624,37,Tata
2269,Toyota Fortuner 2.8 4WD AT BSIV,3100000,2016,5,90000,7,4,1,1,1,15.04,2755,174,Toyota
2270,Hyundai EON LPG Era Plus,222000,2012,9,120000,5,2,1,2,1,21.1,814,55,Hyundai
2271,Renault Captur 1.5 Diesel RXT,900000,2017,4,50000,5,4,1,2,1,20.37,1461,108,Renault
2272,Mahindra Quanto C8,300000,2012,9,210000,7,4,1,2,1,17.21,1493,100,Mahindra
2273,Toyota Innova 2.5 VX 7 STR,550000,2011,10,250000,7,4,1,2,2,12.8,2494,102,Toyota
2274,Honda City i VTEC VX,925000,2018,3,28900,5,3,2,2,1,17.8,1497,117,Honda
2275,Maruti SX4 Vxi BSIII,150000,2008,13,100000,5,3,1,2,4,15,1586,104,Maruti
2276,Honda Amaze E i-DTEC,500000,2017,4,70000,5,4,1,2,1,25.8,1498,98,Honda
2277,Maruti Wagon R LXI BSIII,180000,2010,11,77000,5,3,1,2,1,18.9,998,67,Maruti
2278,Hyundai Venue SX Plus Turbo DCT BSIV,1125000,2019,2,3500,5,3,2,1,1,18.15,998,118,Hyundai
2279,Maruti Swift AMT ZXI,600000,2018,3,69779,5,3,2,1,1,22,1197,81,Maruti
2280,Mahindra Scorpio 2.6 Turbo 7 Str,375000,2007,14,110000,8,4,1,2,4,12.7,2609,116,Mahindra
2281,Maruti Swift Dzire ZDi,270000,2008,13,149000,5,4,1,2,2,19.3,1248,73,Maruti
2282,Nissan Terrano XL Plus 85 PS,580000,2015,6,90000,5,4,1,2,1,20.45,1461,83,Nissan
2283,Maruti Celerio ZXI MT BSIV,484999,2017,4,10000,5,3,2,2,1,23.1,998,67,Maruti
2284,Maruti Zen Estilo LXI BSIII,85000,2007,14,80000,5,3,1,2,2,18.2,998,67,Maruti
2285,Maruti Wagon R LXI,225000,2013,8,58343,5,3,3,2,1,21.79,998,67,Maruti
2286,Maruti Alto K10 VXI,370000,2017,4,30000,5,3,1,2,1,23.95,998,67,Maruti
2287,Hyundai EON Magna Plus,320000,2017,4,15000,5,3,1,2,2,21.1,814,55,Hyundai
2288,Maruti Wagon R VXI BS IV,385000,2016,5,26000,5,3,1,2,2,20.51,998,67,Maruti
2289,Maruti Ciaz 1.3 Alpha,800000,2017,4,28050,5,4,2,2,1,28.09,1248,88,Maruti
2290,Volkswagen Vento Diesel Highline,370000,2011,10,100000,5,4,1,2,2,20.54,1598,103,Volkswagen
2291,Mercedes-Benz B Class B180 Sports,1250000,2014,7,42000,5,3,1,1,1,11.9,1595,120,Mercedes-Benz
2292,Hyundai i20 Asta Optional With Sunroof 1.2,220000,2010,11,90000,5,3,1,2,4,17,1197,80,Hyundai
2293,Maruti Swift VDI BSIV,590000,2017,4,30000,5,4,1,2,1,25.2,1248,74,Maruti
2294,Hyundai i10 Sportz,150000,2009,12,80000,5,3,1,2,2,20.36,1197,78,Hyundai
2295,Maruti Zen Estilo LXI BS IV,165000,2009,12,60000,5,3,1,2,1,19,998,67,Maruti
2296,Honda City i DTEC VX Option,750000,2015,6,160000,5,4,1,2,1,25.1,1498,98,Honda
2297,Maruti Swift Dzire VDI,509999,2014,7,110000,5,4,1,2,1,23.4,1248,74,Maruti
2298,Maruti Alto LXi,170000,2009,12,59000,5,3,1,2,2,19.7,796,46,Maruti
2299,Honda Amaze VX Diesel BSIV,800000,2019,2,10000,5,4,1,2,1,27.4,1498,98,Honda
2300,Hyundai Creta 1.6 CRDi SX Option,1100000,2016,5,94000,5,4,1,2,1,19.67,1582,126,Hyundai
2301,Maruti Ertiga SHVS VDI,925000,2019,2,50000,7,4,2,2,1,24.52,1248,88,Maruti
2302,Hyundai i20 1.2 Magna Executive,415000,2014,7,72000,5,3,2,2,1,18.6,1197,81,Hyundai
2303,Hyundai i20 Sportz Option 1.2,590000,2014,7,70000,5,3,1,2,2,18.6,1197,81,Hyundai
2304,Chevrolet Spark 1.0 LS,90000,2007,14,93000,5,3,1,2,3,18,995,62,Chevrolet
2305,Maruti Wagon R VXI BS IV,420000,2017,4,30000,5,3,1,2,1,20.51,998,67,Maruti
2306,Maruti Ertiga VDI,550000,2013,8,120000,7,4,1,2,3,20.77,1248,88,Maruti
2307,Maruti Alto 800 LXI,275000,2017,4,28000,5,3,1,2,1,24.7,796,47,Maruti
2308,Honda WR-V i-VTEC VX,819999,2017,4,30000,5,3,2,2,1,17.5,1199,88,Honda
2309,Maruti Swift Dzire VDI,700000,2018,3,50000,5,4,1,2,1,28.4,1248,74,Maruti
2310,Force Gurkha Hard Top BS3 4WD,910000,2018,3,20000,5,4,2,2,1,17,2596,80,Force
2311,Hyundai Verna 1.6 CRDI AT SX Option,850000,2016,5,120000,5,4,1,1,1,19.08,1582,126,Hyundai
2312,Hyundai Xcent 1.2 CRDi E Plus,680000,2018,3,26000,5,4,1,2,1,25.4,1186,73,Hyundai
2313,Mahindra Bolero 2011-2019 SLE,500000,2013,8,110000,7,4,1,2,1,15.96,2523,62,Mahindra
2314,Mercedes-Benz GLA Class 200 CDI SPORT,2700000,2017,4,23000,5,4,2,1,1,17.9,2143,136,Mercedes-Benz
2315,Maruti Ciaz ZDi Plus,630000,2015,6,70000,5,4,1,2,1,26.21,1248,88,Maruti
2316,Audi A4 2.0 TDI,1500000,2014,7,60000,5,4,1,1,1,16.55,1968,147,Audi
2317,Skoda Rapid 1.6 MPI AT Elegance,645000,2016,5,11000,5,3,2,1,1,14.3,1598,103,Skoda
2318,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,2019,2,20000,5,4,1,2,1,23,1498,98,Ford
2319,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,370000,2008,13,120000,8,4,1,2,2,12.8,2494,102,Toyota
2320,Lexus ES 300h,5150000,2019,2,20000,5,3,2,1,1,22.37,2487,214,Lexus
2321,Hyundai i20 Asta 1.4 CRDi,715000,2015,6,50000,5,4,1,2,1,22.54,1396,88,Hyundai
2322,Tata New Safari DICOR 2.2 EX 4x4 BS IV,295000,2010,11,250000,7,4,1,2,1,13.93,2179,138,Tata
2323,Toyota Innova Crysta 2.8 ZX AT BSIV,1800000,2016,5,30000,7,4,1,1,1,11.36,2755,171,Toyota
2324,Toyota Etios VX,625000,2017,4,25538,5,3,3,2,1,16.78,1496,88,Toyota
2325,Maruti Baleno Alpha 1.3,735000,2017,4,70000,5,4,1,2,1,27.39,1248,74,Maruti
2326,Maruti Zen Estilo 1.1 VXI BSIII,150000,2007,14,70000,5,3,1,2,3,18.2,1061,64,Maruti
2327,Chevrolet Spark 1.0 LT,130000,2010,11,50000,5,3,1,2,1,18,995,62,Chevrolet
2328,Volkswagen Polo 1.5 TDI Comfortline,260000,2020,1,50000,5,4,1,2,1,20.14,1498,88,Volkswagen
2329,Maruti Baleno Delta 1.2,550000,2017,4,46000,5,3,1,2,1,21.4,1197,83,Maruti
2330,Skoda Rapid 1.6 MPI AT Elegance,645000,2016,5,11000,5,3,2,1,1,14.3,1598,103,Skoda
2331,Hyundai Grand i10 CRDi Asta Option,270000,2013,8,118000,5,4,1,2,1,24,1120,70,Hyundai
2332,Tata Manza Aura (ABS) Quadrajet BS IV,200000,2010,11,188000,5,4,1,2,2,21.12,1248,88,Tata
2333,Maruti Alto 800 VXI,295000,2017,4,80000,5,3,1,2,1,24.7,796,47,Maruti
2334,Honda City i VTEC VX,650000,2014,7,56000,5,3,1,2,1,17.4,1497,117,Honda
2335,Honda BR-V i-VTEC E MT,595000,2017,4,120000,7,3,1,2,1,15.4,1497,117,Honda
2336,Hyundai EON Era Plus,250000,2016,5,110000,5,3,1,2,1,21.1,814,55,Hyundai
2337,Maruti Alto 800 LXI,300000,2015,6,50000,5,3,1,2,1,22.74,796,47,Maruti
